rule_id,rule_type,feature,direction,threshold,feature2,direction2,threshold2,selected_n,fired_n,label_precision,label_lift,outcome_mean_5x,outcome_win,score
R0544,pair,trend3_20__pct,hi,0.95,ret3_pct__pct,hi,0.7,61,923,0.06608884073672806,3.88557766593067,1.2185355798244895,49.945828819068254,25.312910909869256
R2366,pair,close_vs_vwap_pct__pct,lo,0.1,last15_ret_pct__pct,hi,0.8,12,260,0.046153846153846156,2.7135345666991237,3.2917551382571855,54.61538461538461,25.14500327905168
R1100,pair,ret_std_20d__pct,hi,0.7,vol_avg20__pct,lo,0.05,18,219,0.0821917808219178,4.832321831108028,1.315955384016647,48.858447488584474,25.073321471542293
R0601,pair,ret3_pct__pct,hi,0.95,trend3_20__pct,hi,0.9,67,752,0.08909574468085106,5.238228296974594,0.8147511178103469,49.33510638297872,25.06800483581353
R0474,pair,ret5_pct__pct,hi,0.95,vol_avg20__pct,lo,0.1,9,126,0.07142857142857142,4.199517781796263,1.8957020460714693,53.96825396825397,24.997085552300994
R2782,pair,vol_avg3__pct,lo,0.05,turn_pct_252__pct,hi,0.8,7,128,0.0546875,3.2152558016877637,2.99773448215817,56.25,24.857461760375404
R3198,pair,turn_pct_252__pct,hi,0.8,last30_volume__pct,lo,0.2,32,605,0.05289256198347107,3.1097255640408688,1.9475764247812666,51.90082644628099,24.666333160240992
R0842,pair,trend3_20__pct,hi,0.9,vol_avg20__pct,lo,0.2,33,572,0.057692307692307696,3.391918208373905,1.7006189003462,51.22377622377622,24.635474188275865
R0820,pair,trend3_20__pct,hi,0.9,down_day_streak__pct,lo,0.2,24,256,0.09375,5.511867088607595,1.0490864767492252,48.4375,24.6032669306272
R3543,pair,intra_ret_pct__pct,lo,0.2,day_range_pct__pct,hi,0.9,35,860,0.040697674418604654,2.3927485035815916,2.9051461686019295,52.674418604651166,24.48981241411579
R0748,pair,ret3_pct__pct,hi,0.9,first15_ret_pct__pct,lo,0.1,20,262,0.07633587786259542,4.48803427062196,1.4092054393004338,51.14503816793893,24.472196584087538
R3124,pair,intra_range_pct__pct,hi,0.8,intra_ret_pct__pct,lo,0.2,63,1680,0.0375,2.204746835443038,2.8626782008971943,52.916666666666664,24.36057903475166
R0716,pair,ret10_pct__pct,hi,0.95,last60_vol_pct__pct,lo,0.3,44,629,0.06995230524642289,4.112723296639901,1.261916648223416,50.07949125596184,24.289883972929022
R3667,pair,up_day_streak__pct,hi,0.9,last60_vol_pct__pct,lo,0.2,36,595,0.06050420168067227,3.5572385916391873,1.5892390249381518,48.90756302521008,24.241221810109465
R0536,pair,trend3_20__pct,hi,0.95,ret_std_20d__pct,hi,0.7,45,647,0.0695517774343122,4.089174965273022,1.1769344829572224,49.61360123647604,24.239434302799875
R0656,pair,ret3_pct__pct,hi,0.95,vol_avg3__pct,lo,0.1,6,66,0.09090909090909091,5.344840813195244,1.7113372919556111,57.57575757575758,24.190619752670834
R1910,pair,volume__pct,lo,0.1,turn_pct_252__pct,hi,0.7,18,373,0.04825737265415549,2.837207723894526,2.526949563994834,53.88739946380697,23.84769490251048
R0591,pair,trend3_20__pct,hi,0.95,prev_close__pct,hi,0.95,5,45,0.1111111111111111,6.532583216127519,1.3962843694324372,53.333333333333336,23.630596452103166
R0752,pair,ret3_pct__pct,hi,0.9,volume__pct,lo,0.1,11,182,0.06043956043956044,3.5534381230583763,2.213705561981221,54.94505494505495,23.561685295410005
R2695,pair,vol_avg20__pct,lo,0.2,turn_pct_252__pct,hi,0.8,44,917,0.04798255179934569,2.821050112962375,1.9417031182272921,52.78080697928026,23.50838634944438
R1336,pair,trend3_20__pct,hi,0.8,last30_volume__pct,lo,0.05,10,166,0.060240963855421686,3.5417619846474504,2.2061379914234003,53.01204819277109,23.322841492660565
R1226,pair,ret3_pct__pct,hi,0.8,first15_ret_pct__pct,lo,0.1,28,474,0.05907172995780591,3.473018925029821,1.5922394516121023,51.68776371308017,23.14268492828626
R0549,pair,trend3_20__pct,hi,0.95,last60_ret_pct__pct,lo,0.05,16,193,0.08290155440414508,4.874051726022605,1.4498561565395955,45.59585492227979,23.119272817496594
R1905,pair,volume__pct,lo,0.1,turn_pct_252__pct,hi,0.8,11,208,0.052884615384615384,3.109258357676079,2.863727636677839,55.28846153846154,23.08329832995591
R2086,pair,last60_ret_pct__pct,lo,0.05,up_day_streak__pct,hi,0.9,12,131,0.0916030534351145,5.3856411247463525,1.3460055770754678,47.32824427480916,23.046308277055168
R3559,pair,intra_ret_pct__pct,lo,0.2,intra_range_pct__pct,hi,0.9,33,802,0.04114713216957606,2.4191735850247795,2.742165721378703,52.119700748129674,23.022502552050682
R0761,pair,ret3_pct__pct,hi,0.9,last60_volume__pct,lo,0.1,11,201,0.05472636815920398,3.217540987047883,2.4098325780646577,53.233830845771145,22.966951696393892
